cluster_id,name,cg_name,ra_deg,dec_deg,radius_deg,dist_pc,age_gyr,n_members
ngc_7789,NGC 7789,NGC_7789,-0.666,56.726,0.527,2100.0,1.5488,2897
trumpler_5,Cl Trumpler 5,Trumpler_5,99.126,9.465,0.335,3047.0,4.2658,2051
ngc_3532,NGC 3532,NGC_3532,166.417,-58.707,1.34,498.0,0.3981,1854
collinder_261,Cl Collinder 261,Collinder_261,189.519,-68.377,0.27,2850.0,6.3096,1799
ngc_2437,NGC 2437,NGC_2437,115.445,-14.844,0.527,1511.0,0.302,1733
ngc_2477,NGC 2477,NGC_2477,118.046,-38.537,0.375,1442.0,1.122,1713
ngc_2099,NGC 2099,NGC_2099,88.074,32.545,0.403,1432.0,0.4467,1648
ngc_6791,NGC 6791,NGC_6791,290.221,37.778,0.25,4231.0,6.3096,1629
ngc_6819,NGC 6819,NGC_6819,295.327,40.19,0.25,2765.0,2.2387,1527
ngc_2506,NGC 2506,NGC_2506,120.01,-10.773,0.25,3191.0,1.6596,1468
ngc_2158,NGC 2158,NGC_2158,91.862,24.099,0.25,4298.0,1.5488,1317
ngc_6124,NGC 6124,NGC_6124,246.332,-40.661,1.002,654.0,0.1905,1273
ngc_2168,NGC 2168,NGC_2168,92.272,24.336,0.797,906.0,0.1479,1247
ngc_3114,NGC 3114,NGC_3114,150.553,-60.041,1.025,1021.0,0.1445,1222
ngc_6705,NGC 6705,NGC_6705,282.766,-6.272,0.25,2203.0,0.309,1183
stock_2,Cl Stock 2,Stock_2,33.856,59.522,2.0,399.0,0.3981,1178
pismis_3,Cl Pismis 3,Pismis_3,127.834,-38.64,0.283,2349.0,3.1623,980
ngc_7654,NGC 7654,NGC_7654,351.195,61.59,0.333,1653.0,0.1549,962
melotte_22,Cl Melotte 22,Melotte_22,56.601,24.114,2.0,128.0,0.0776,952
ic_2714,IC 2714,IC_2714,169.373,-62.719,0.428,1360.0,0.5248,888
collinder_110,Cl Collinder 110,Collinder_110,99.677,2.069,0.393,2183.0,1.8197,881
ngc_188,NGC 188,NGC_188,11.798,85.244,0.68,1698.0,7.0795,857
ngc_6067,NGC 6067,NGC_6067,243.299,-54.227,0.28,1881.0,0.1259,844
ngc_6475,NGC 6475,NGC_6475,268.447,-34.841,2.0,285.0,0.2239,819
ic_4651,IC 4651,IC_4651,261.212,-49.917,0.575,982.0,1.6596,806
melotte_66,Cl Melotte 66,Melotte_66,111.573,-47.685,0.25,4830.0,4.2658,804
ngc_6134,NGC 6134,NGC_6134,246.953,-49.161,0.39,1182.0,0.9772,802
ngc_2323,NGC 2323,NGC_2323,105.684,-8.365,0.657,983.0,0.1318,773
